regime,comparison,reference,window,corrected_rate,reference_rate,rate_ratio,rate_difference,kinetic_crossover
GC_GB,corrected_vs_no_C,G,N80_to_70,0.02616380144970841,0.023058727179182573,1.1346593958286257,0.003105074270525837,True
GC_GB,corrected_vs_legacy_C,LEGACY_GC,N190_to_175,0.023414327673840156,0.006654497937211209,3.5185716330167978,0.016759829736628946,False
GC_GB,corrected_vs_legacy_C,LEGACY_GC,N175_to_160,0.030135556605447016,0.004439374622495926,6.788243653225207,0.02569618198295109,False
GC_GB,corrected_vs_legacy_C,LEGACY_GC,N190_to_160,0.024411227711166373,0.004855987322510432,5.027036952507186,0.019555240388655942,False
GC_GB,corrected_vs_legacy_C,LEGACY_GC,N160_to_140,0.022047069391602524,0.004715095411707503,4.675847987478688,0.01733197397989502,False
GC_GB,corrected_vs_legacy_C,LEGACY_GC,N140_to_120,0.045278651883274,0.0033926449473729832,13.346121561684338,0.04188600693590101,False
GC_GB,corrected_vs_legacy_C,LEGACY_GC,N120_to_100,0.03005516802677207,0.001420402781734301,21.159609382118315,0.02863476524503777,False
GC_GB,corrected_vs_legacy_C,LEGACY_GC,N100_to_80,0.018152915767583284,,,,False
GC_GB,corrected_vs_legacy_C,LEGACY_GC,N80_to_70,0.02616380144970841,,,,False
TC_GB,corrected_vs_no_C,T,N190_to_175,0.010272159313555384,0.022381412630184408,0.4589593822019066,-0.012109253316629024,False
TC_GB,corrected_vs_no_C,T,N175_to_160,0.02219791146701235,0.03053175256653964,0.7270434744495959,-0.00833384109952729,False
TC_GB,corrected_vs_no_C,T,N190_to_160,0.019795727924947187,0.0264384119787694,0.7487487501459457,-0.0066426840538222134,False
TC_GB,corrected_vs_no_C,T,N160_to_140,0.020413041090405877,0.02039638887288275,1.0008164296938498,1.6652217523126928e-05,True
TC_GB,corrected_vs_no_C,T,N140_to_120,0.05652295413937954,0.09452811118522814,0.5979486253419645,-0.038005157045848594,True
TC_GB,corrected_vs_no_C,T,N120_to_100,0.03644360246676423,0.037231340514694004,0.9788420713022976,-0.0007877380479297744,False
TC_GB,corrected_vs_no_C,T,N100_to_80,0.027071758237979946,0.028996998935419488,0.9336055189115491,-0.0019252406974395418,False
TC_GB,corrected_vs_no_C,T,N80_to_70,0.024319847039457096,0.04072176726968461,0.597219832783683,-0.01640192023022751,False
TC_GB,corrected_vs_legacy_C,LEGACY_TC,N190_to_175,0.010272159313555384,0.0077547775439727054,1.3246233377176988,0.002517381769582679,False
TC_GB,corrected_vs_legacy_C,LEGACY_TC,N175_to_160,0.02219791146701235,0.0041477953726763465,5.351737362272345,0.018050116094336002,False
TC_GB,corrected_vs_legacy_C,LEGACY_TC,N190_to_160,0.019795727924947187,0.004485866803738397,4.412910322805389,0.01530986112120879,False
TC_GB,corrected_vs_legacy_C,LEGACY_TC,N160_to_140,0.020413041090405877,0.003827530948835918,5.333213855949141,0.01658551014156996,False
TC_GB,corrected_vs_legacy_C,LEGACY_TC,N140_to_120,0.05652295413937954,0.004292948898309625,13.166463304894172,0.05223000524106992,False
TC_GB,corrected_vs_legacy_C,LEGACY_TC,N120_to_100,0.03644360246676423,0.006163119688550592,5.91317454607714,0.030280482778213637,False
TC_GB,corrected_vs_legacy_C,LEGACY_TC,N100_to_80,0.027071758237979946,,,,False
TC_GB,corrected_vs_legacy_C,LEGACY_TC,N80_to_70,0.024319847039457096,,,,False
SC_GB,corrected_vs_no_C,S,N190_to_175,0.017816674491508647,0.019145035485482277,0.9306159032726302,-0.0013283609939736298,False
SC_GB,corrected_vs_no_C,S,N175_to_160,9.268699121631802e-05,0.0007145042024380189,0.12972210786172156,-0.0006218172112217008,False
SC_GB,corrected_vs_no_C,S,N190_to_160,0.00029168067730775063,0.0010087983581749814,0.28913674863173905,-0.0007171176808672308,False
SC_GB,corrected_vs_no_C,S,N160_to_140,,,,,False
SC_GB,corrected_vs_no_C,S,N140_to_120,,,,,False
SC_GB,corrected_vs_no_C,S,N120_to_100,,,,,False
SC_GB,corrected_vs_no_C,S,N100_to_80,,,,,False
SC_GB,corrected_vs_no_C,S,N80_to_70,,,,,False
SC_GB,corrected_vs_legacy_C,LEGACY_SC,N190_to_175,0.017816674491508647,0.007943957899320685,2.242795684130226,0.009872716592187962,False
SC_GB,corrected_vs_legacy_C,LEGACY_SC,N175_to_160,9.268699121631802e-05,0.0038152021586158177,0.024294123184797504,-0.0037225151673994997,True
SC_GB,corrected_vs_legacy_C,LEGACY_SC,N190_to_160,0.00029168067730775063,0.0045019251382720105,0.06479021048753099,-0.00421024446096426,False
SC_GB,corrected_vs_legacy_C,LEGACY_SC,N160_to_140,,0.004342881043783907,,,False
SC_GB,corrected_vs_legacy_C,LEGACY_SC,N140_to_120,,0.004078848826124403,,,False
SC_GB,corrected_vs_legacy_C,LEGACY_SC,N120_to_100,,-0.0001657142590684725,,,False
SC_GB,corrected_vs_legacy_C,LEGACY_SC,N100_to_80,,,,,False
SC_GB,corrected_vs_legacy_C,LEGACY_SC,N80_to_70,,,,,False
GTC_GB,corrected_vs_no_C,GT,N190_to_175,0.018192574713381947,0.016258710865436357,1.1189432461128699,0.0019338638479455897,False
GTC_GB,corrected_vs_no_C,GT,N175_to_160,0.02131554718833169,0.022159126782155463,0.96193082867764,-0.000843579593823772,True
GTC_GB,corrected_vs_no_C,GT,N190_to_160,0.01709057210180703,0.019235270606463854,0.888501776318337,-0.0021446985046568237,False
GTC_GB,corrected_vs_no_C,GT,N160_to_140,0.02079022511690839,0.019633701448579594,1.0589050246769678,0.0011565236683287981,True
GTC_GB,corrected_vs_no_C,GT,N140_to_120,0.04260178255163557,0.0332615513748726,1.2808116516122288,0.00934023117676297,False
GTC_GB,corrected_vs_no_C,GT,N120_to_100,0.019610786546058325,0.018004798095484355,1.0891978039440917,0.0016059884505739697,False
GTC_GB,corrected_vs_no_C,GT,N100_to_80,0.022644514527840283,0.026585423398665965,0.8517642991150017,-0.003940908870825682,True
GTC_GB,corrected_vs_no_C,GT,N80_to_70,0.013313234449192975,0.030353297556487635,0.4386091634497695,-0.01704006310729466,False
GTC_GB,corrected_vs_legacy_C,LEGACY_GTC,N190_to_175,0.018192574713381947,0.006759835998493261,2.6912745690038924,0.011432738714888686,False
GTC_GB,corrected_vs_legacy_C,LEGACY_GTC,N175_to_160,0.02131554718833169,0.00397561187153839,5.361576501199926,0.0173399353167933,False
GTC_GB,corrected_vs_legacy_C,LEGACY_GTC,N190_to_160,0.01709057210180703,0.004362653801508601,3.917471538974082,0.01272791830029843,False
GTC_GB,corrected_vs_legacy_C,LEGACY_GTC,N160_to_140,0.02079022511690839,0.0050774201782085885,4.0946434187456955,0.015712804938699802,False
GTC_GB,corrected_vs_legacy_C,LEGACY_GTC,N140_to_120,0.04260178255163557,0.003437319401863137,12.393896979298473,0.039164463149772434,False
GTC_GB,corrected_vs_legacy_C,LEGACY_GTC,N120_to_100,0.019610786546058325,0.00013292128378547863,147.53684276558846,0.019477865262272846,False
GTC_GB,corrected_vs_legacy_C,LEGACY_GTC,N100_to_80,0.022644514527840283,,,,False
GTC_GB,corrected_vs_legacy_C,LEGACY_GTC,N80_to_70,0.013313234449192975,,,,False
GSC_GB,corrected_vs_no_C,GS,N190_to_175,0.017676834931905007,0.016381838814798304,1.0790507177946889,0.0012949961171067025,False
GSC_GB,corrected_vs_no_C,GS,N175_to_160,0.0220439836238014,0.018189645712699588,1.2118973602883756,0.0038543379111018114,False
GSC_GB,corrected_vs_no_C,GS,N190_to_160,0.01832219476621482,0.018210368234678708,1.0061408165993677,0.00011182653153611263,False
GSC_GB,corrected_vs_no_C,GS,N160_to_140,0.010422726956230269,0.007531318190607513,1.3839180197204655,0.002891408765622756,False
GSC_GB,corrected_vs_no_C,GS,N140_to_120,0.020840036755002626,0.00966023805952685,2.157300537169511,0.011179798695475775,False
GSC_GB,corrected_vs_no_C,GS,N120_to_100,0.003816641649327653,0.008031743692107752,0.47519465207511624,-0.004215102042780099,True
GSC_GB,corrected_vs_no_C,GS,N100_to_80,0.007755737397220079,0.005446876892426431,1.423887036625334,0.002308860504793648,True
GSC_GB,corrected_vs_no_C,GS,N80_to_70,,,,,False
GSC_GB,corrected_vs_legacy_C,LEGACY_GSC,N190_to_175,0.017676834931905007,0.0065470237249765145,2.699980277216487,0.011129811206928492,False
GSC_GB,corrected_vs_legacy_C,LEGACY_GSC,N175_to_160,0.0220439836238014,0.003789641554593173,5.816904661361271,0.018254342069208226,False
GSC_GB,corrected_vs_legacy_C,LEGACY_GSC,N190_to_160,0.01832219476621482,0.004492290368833136,4.078586480814234,0.013829904397381684,False
GSC_GB,corrected_vs_legacy_C,LEGACY_GSC,N160_to_140,0.010422726956230269,0.004881540514902419,2.1351306876203644,0.00554118644132785,False
GSC_GB,corrected_vs_legacy_C,LEGACY_GSC,N140_to_120,0.020840036755002626,0.0035708990593141723,5.836075567760565,0.017269137695688455,False
GSC_GB,corrected_vs_legacy_C,LEGACY_GSC,N120_to_100,0.003816641649327653,0.025921848281912484,0.14723647819475877,-0.02210520663258483,True
