regime,sink_path,stage,events,observed_mean_residence,observed_median_residence,rate_implied_mean_residence,median_rate
C_GBTJ,gb_disconnection_sink,transport,520,9.310779661708132,1.0768357445826098,0.8983035759500364,1.432320529822446
C_GBTJ,tj_sink,nucleation,1872,0.24578191475957717,0.007346545067483667,0.056401376760344936,102.7722095517978
C_GBTJ,tj_sink,exchange,1872,1.584537436303714e-05,1.1228813434627227e-09,1.7331874717437453e-05,702804510.6355786
C_GBTJ,tj_sink,transport,1608,2.696182701955983,0.13543976331178165,0.17454193722336067,5.729282119289784
GC_GBTJ,gb_disconnection_sink,nucleation,1222,14.45906109809981,0.701240490913857,0.003310465701425629,302.072303473604
GC_GBTJ,gb_disconnection_sink,exchange,1222,7.015390784484868e-05,1.3444543789375984e-07,5.522980504494851e-05,4501018.011799755
GC_GBTJ,gb_disconnection_sink,transport,688,7.912000563166295,0.346818106303175,0.6818678659478017,2.546347608573237
GC_GBTJ,tj_sink,nucleation,1678,0.32903173440508865,0.006150599034766557,0.05370932876581675,140.15134959968276
GC_GBTJ,tj_sink,exchange,1678,3.808897654915923e-05,1.241762106474198e-07,4.4236518714601757e-05,4666549.9316261355
GC_GBTJ,tj_sink,transport,1399,3.963407960906475,0.126502199087291,0.17454193722336067,5.729282119289784
TC_GBTJ,gb_disconnection_sink,nucleation,1079,0.0032789439134379883,0.0022148516733611068,0.003310465701425629,302.072303473604
TC_GBTJ,gb_disconnection_sink,exchange,1079,5.416086242103917e-05,1.1058936877361702e-08,2.5908783497253746e-05,37221949.34257623
TC_GBTJ,gb_disconnection_sink,transport,542,10.84337545550603,1.1611975472871885,0.9360696974612611,1.432320529822446
TC_GBTJ,tj_sink,nucleation,1942,0.27681630848676003,0.007182477124283437,0.0816190728543059,101.33130679567397
TC_GBTJ,tj_sink,exchange,1942,1.3299278127869931e-05,5.251806101114198e-09,1.37387932421484e-05,102546158.84295346
TC_GBTJ,tj_sink,transport,1646,2.6614670297065213,0.1275603106648553,0.1745419372233607,5.729282119289784
SC_GBTJ,gb_disconnection_sink,nucleation,1573,0.003460546763767057,0.0022987988334648435,0.003310465701425629,302.072303473604
SC_GBTJ,gb_disconnection_sink,exchange,1573,0.00036058324886122014,2.367395001101613e-05,0.00036464942712802347,21245.384429954862
SC_GBTJ,gb_disconnection_sink,transport,1293,10.389657546900212,1.3056568756697402,1.2537186712776196,1.432320529822446
SC_GBTJ,tj_sink,nucleation,5011,1.13680375615258,0.026479224916911903,0.20138624251811355,73.8001557996062
SC_GBTJ,tj_sink,exchange,5011,0.001217228259828048,2.419416429688681e-05,0.0004044485193808586,22653.484909855895
SC_GBTJ,tj_sink,transport,4892,1.7535672794629644,0.15541940025773116,0.17454193722336067,5.729282119289784
GTC_GBTJ,gb_disconnection_sink,nucleation,1226,13.97842251508029,0.6212789190285952,0.003310465701425629,302.072303473604
GTC_GBTJ,gb_disconnection_sink,exchange,1226,4.729349177016588e-05,1.6797543622715239e-07,2.5376821710468558e-05,3403055.112200657
GTC_GBTJ,gb_disconnection_sink,transport,688,8.956696394251496,0.42069999685998916,0.6323974040894365,2.546347608573237
GTC_GBTJ,tj_sink,nucleation,1687,0.4125711169813708,0.0060174893944662244,0.08461546090558192,144.00797078451046
GTC_GBTJ,tj_sink,exchange,1687,2.0760567932294615e-05,1.3512752161659591e-07,2.0962392584551144e-05,4197509.440994643
GTC_GBTJ,tj_sink,transport,1394,4.0673927182054666,0.12739892600429203,0.17454193722336067,5.729282119289784
GSC_GBTJ,gb_disconnection_sink,nucleation,1507,16.643345471917304,0.004489229533589878,0.003310465701425629,302.072303473604
GSC_GBTJ,gb_disconnection_sink,exchange,1507,0.00017605205729201738,2.5112268531302107e-07,0.0001437870924927789,2947584.9153581257
GSC_GBTJ,gb_disconnection_sink,transport,1018,13.580434294684045,0.7459325314947804,1.0905870601114847,1.432320529822446
GSC_GBTJ,tj_sink,nucleation,3224,1.004512865030169,0.015100416442290765,0.1812407357198659,76.4750772821488
GSC_GBTJ,tj_sink,exchange,3224,0.0001854162285415614,1.545432937177793e-07,7.824450332613733e-05,4445375.211525977
