case,state_index,physical_time,energy,relative_change
A2 coarse,11,0.0007001426756319809,5221.789508175571,-0.00271637570561597
A2 coarse,12,0.0007637920097803427,5220.3196279930835,-0.0029971008159205845
A2 coarse,13,0.0008274413439287046,5218.83318722044,-0.0032809887510278934
A2 coarse,14,0.0008910906780770665,5217.376314206783,-0.0035592296868070575
A2 coarse,15,0.0009547400122254284,5215.90718777636,-0.0038398108417511405
A2 coarse,16,0.0010183893463737903,5214.489038391624,-0.0041106561441108785
A2 coarse,17,0.001082038680522152,5213.082365445557,-0.0043793096184904234
A2 coarse,18,0.0011456880146705141,5211.745722100738,-0.004634588487396017
A2 coarse,19,0.001209337348818876,5210.434887837431,-0.00488493820810251
A2 coarse,20,0.001272986682967238,5209.1417660386605,-0.005131905113243559
A2 coarse,21,0.0013366360171155997,5207.886909802798,-0.005371563868716175
A2 coarse,22,0.0014002853512639617,5206.633756606668,-0.005610897369094981
A2 coarse,23,0.0014639346854123235,5205.356660822832,-0.005854803545297722
A2 coarse,24,0.0015275840195606853,5204.122004497902,-0.0060906044201810595
A2 coarse,25,0.0015912333537090474,5202.876371651296,-0.0063285016463826135
A2 coarse,26,0.0016548826878574092,5201.592135668012,-0.006573771493789028
A2 coarse,27,0.0017185320220057712,5200.330549977047,-0.006814715474444281
A2 coarse,28,0.001782181356154133,5199.016245577789,-0.007065727939168416
A2 coarse,29,0.001845830690302495,5197.695753076655,-0.007317922238713194
A2 coarse,30,0.0019094800244508568,5196.408325709435,-0.007563801592675345
A2 coarse,31,0.0019731293585992186,5195.104773817226,-0.007812760489521595
A2 coarse,32,0.0020367786927475806,5193.725424572626,-0.008076195545964986
A2 coarse,33,0.0021004280268959426,5192.376220148462,-0.008333873392982279
A2 coarse,34,0.002164077361044304,5191.029418755589,-0.008591092296997158
A2 coarse,35,0.002227726695192666,5189.668718008829,-0.008850965769526866
A2 coarse,36,0.0022913760293410282,5188.286403530658,-0.009114967141191982
A2 coarse,37,0.0023550253634893902,5186.915581778564,-0.00937677357422606
A2 coarse,38,0.002418674697637752,5185.561722777222,-0.009635340375803995
A2 coarse,39,0.002482324031786114,5184.183309128829,-0.009898596747378093
A2 coarse,40,0.002545973365934476,5182.803196018877,-0.010162177690668493
A2 coarse,41,0.0026096227000828374,5181.387231522623,-0.010432605712036672
A2 coarse,42,0.0026732720342311994,5179.977765690828,-0.010701792585779923
A2 coarse,43,0.0027369213683795615,5178.603007939585,-0.010964350735728323
A2 coarse,44,0.0028005707025279235,5177.210398582221,-0.011230318275201804
